# time flux err_flux
1.327554979020096880e+03 8.412952148437500000e+03 1.134815788269042969e+01
1.327556367921409446e+03 8.396502929687500000e+03 1.133587360382080078e+01
1.327557756822722013e+03 8.402723632812500000e+03 1.133961296081542969e+01
1.327559145723975007e+03 8.424710937500000000e+03 1.134989833831787109e+01
1.327560534625286664e+03 8.407898437500000000e+03 1.134878730773925781e+01
1.327561923526599230e+03 8.416722656250000000e+03 1.134430885314941406e+01
1.327563312427851997e+03 8.402447265625000000e+03 1.134171962738037109e+01
1.327564701329163881e+03 8.388505859375000000e+03 1.133525753021240234e+01
1.327566090230476448e+03 8.414601562500000000e+03 1.134742736816406250e+01
1.327567479131729215e+03 8.402996093750000000e+03 1.134430599212646484e+01
